tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,,118,"Comedy,Fantasy,Romance"
tt0079644,movie,November 1828,November 1828,0,2001,,140,"Drama,War"
tt0114447,movie,The Silent Force,The Silent Force,0,2001,,90,Action
tt0114722,movie,3 noches,3 noches,0,2001,,105,"Crime,Thriller"
tt0118578,movie,Albela,Albela,0,2001,,145,"Comedy,Drama,Romance"
tt0118589,movie,Glitter,Glitter,0,2001,,104,"Drama,Music,Romance"
tt0118652,movie,The Attic Expeditions,The Attic Expeditions,0,2001,,100,"Comedy,Horror,Mystery"
tt0119004,movie,Don's Plum,Don's Plum,0,2001,,89,"Comedy,Drama"
tt0120166,movie,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,2001,,86,"Adventure,Family,Fantasy"
tt0120624,movie,Camarate,Camarate,0,2001,,100,"Drama,History"
tt0120681,movie,From Hell,From Hell,0,2001,,122,"Horror,Mystery,Thriller"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001,,178,"Action,Adventure,Drama"
tt0120807,movie,Ricochet River,Ricochet River,0,2001,,112,Drama
tt0120824,movie,The Shipping News,The Shipping News,0,2001,,111,Drama
tt0123581,movie,Burning Down the House,Burning Down the House,0,2001,,84,Comedy
tt0124889,movie,Sticks,Sticks,0,2001,,92,"Comedy,Crime"
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001,,123,"Comedy,Crime,Romance"
tt0126029,movie,Shrek,Shrek,0,2001,,90,"Adventure,Animation,Comedy"
tt0126899,movie,Eyes Are Upon You,Eyes Are Upon You,0,2001,,92,"Crime,Thriller"
tt0128165,movie,Blazin',Blazin',0,2001,,100,"Action,Crime"
tt0132078,movie,Dead by Monday,Dead by Monday,0,2001,,94,Comedy
tt0132245,movie,Driven,Driven,0,2001,,116,"Action,Drama,Sport"
tt0133063,movie,Lightmaker,Lightmaker,0,2001,,89,Fantasy
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001,,119,"Action,Adventure,Sci-Fi"
tt0139654,movie,Training Day,Training Day,0,2001,,122,"Action,Crime,Drama"
tt0141120,movie,The Ghost,The Ghost,0,2001,,86,"Action,Thriller"
tt0141907,movie,Town & Country,Town & Country,0,2001,,104,"Comedy,Romance"
tt0145467,movie,Silent Partner,Silent Partner,0,2001,,84,"Comedy,Drama"
tt0146316,movie,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,0,2001,,100,"Action,Adventure,Fantasy"
tt0148415,movie,Little Shop of Erotica,Little Shop of Erotica,0,2001,,87,Fantasy
tt0150021,movie,Camouflage,Camouflage,0,2001,,98,"Action,Comedy"
tt0151685,movie,Love,My Father's Love,0,2001,,110,Drama
tt0152083,movie,Probably Love,L'amore probabilmente,0,2001,,107,Drama
tt0153533,movie,Bitten: Victoria's Shadow,Victoria's Shadow,0,2001,,80,Horror
tt0157007,movie,After Image,After Image,0,2001,,92,"Drama,Thriller"
tt0157583,movie,Enigma,Enigma,0,2001,,119,"Drama,Mystery,Romance"
tt0159273,movie,Behind Enemy Lines,Behind Enemy Lines,0,2001,,106,"Action,Drama,Thriller"
tt0159378,movie,The Demo Crew,The Demo Crew,0,2001,,108,"Action,Drama,Sport"
